id,Predicted_LogReg
9948,0.00766889006416309
25601,0.008605061014249052
8592,0.992380077060425
29593,0.5944370172087481
4252,0.9576824802639993
34651,0.013003447802018077
17873,0.9810300159009461
25733,0.04180078576637752
6189,0.007446770251173539
29600,0.009376234382818514
25721,0.010690794155414263
34810,0.00900465616530378
8834,0.38462673656218094
18435,0.9917813487673711
8069,0.9909506971760318
34770,0.1548582555616009
29326,0.008376680604773742
25434,0.009606045592759373
27525,0.9910280960252923
34922,0.4856351802548278
309,0.1417192450187808
6804,0.008224522399594715
25895,0.9885560114318444
23936,0.9900758296085582
28880,0.9864594277924539
25338,0.9918429667842359
23331,0.06073199856684888
24872,0.9913460148958297
29037,0.9814044154729163
17527,0.987622701964601
19441,0.2656938648769468
34353,0.9915278337359777
38364,0.04015720549745742
12428,0.9869172166265296
4540,0.008316038099813999
19364,0.9876375328396435
20106,0.9267220188576074
3148,0.01110234409179832
2861,0.00894213731571831
4637,0.9887448852103894
2089,0.9919989709477889
26598,0.7403574146918839
677,0.9588959641830341
1439,0.9875336627559609
38923,0.008682968560927219
6623,0.9183519624118234
19223,0.9866264435078549
4593,0.008524388055707523
37338,0.9880737443109013
33996,0.9860804331662709
4263,0.9901987481219812
9739,0.007239252331853326
27898,0.7544834762450519
31700,0.7287356541420481
26029,0.009463422503285496
3212,0.005718713338173981
30614,0.9907914565161179
8249,0.20715324029724136
26213,0.007715034059122768
13434,0.005739453725616746
24987,0.9258672956734099
37073,0.010829405506504356
18350,0.9607163677885149
21036,0.00819008816604318
14421,0.991678221115439
19227,0.008867185227251896
26121,0.007386810435838906
17935,0.988145909427633
38013,0.9873752699139761
26129,0.007850120518374741
29511,0.9829853500777719
40,0.9887092346621469
35471,0.008003510687581756
26780,0.00752452827058899
6867,0.9906001683155742
24586,0.08241904396074592
128,0.10972277125566264
22041,0.012407331333225349
4051,0.007591079763797679
32730,0.9748251473358093
5683,0.008072392501908594
27456,0.00851090966718618
9472,0.9491148692810648
24645,0.9909679403124296
29446,0.9430271313721152
37513,0.007082221257320511
583,0.008960538282876997
4959,0.9919060353817525
5188,0.008217337240499846
1427,0.8642142611879315
5674,0.3055297607132525
35515,0.0953071665061693
8323,0.9913077074551617
24484,0.9912085898490922
3423,0.007400127360430713
25596,0.009566231324437712
19004,0.0069023954816002965
24453,0.010132402879384361
1343,0.006132620544464815
7175,0.989721322115076
3884,0.007383897996688616
18036,0.00904609891211846
13667,0.9463916944169783
38590,0.009609527608678494
24395,0.81076927276348
5415,0.182414896309593
4531,0.990920228291079
13702,0.9914696902207903
37017,0.008043127450078229
11202,0.9913193805715973
15850,0.988904338468658
2712,0.9367049031512539
1887,0.008839661865260572
31082,0.006282991606821762
23069,0.9797991994212272
20839,0.6507382633721126
13145,0.008764654015035936
28789,0.9888634459250549
13040,0.9907507434893782
7253,0.00886701197348914
29117,0.008186388504325919
15264,0.9887072595429871
1833,0.9914981285754072
26456,0.008973732543058265
1690,0.9874196876393734
30075,0.9833324128399106
3521,0.010396149925146998
3949,0.9895898643063465
35325,0.009847991527907487
35379,0.9907009659728976
26726,0.008982298987749389
11295,0.9769141740376158
24154,0.16697555470360573
26489,0.9882863464654266
38020,0.006893822151206659
17036,0.9678391761896445
29069,0.6343571450660918
28734,0.6118930534559409
31579,0.007978347400967358
3568,0.9908826486542809
7438,0.9894939294311066
11507,0.9900070731647641
26540,0.7824219737879708
25906,0.9914620059995511
24837,0.008744859098976807
28113,0.0073254741175190945
12205,0.008680716688938791
31987,0.00884134759588828
14737,0.9708657367160078
34834,0.009432862088856235
26616,0.9909986301331761
1057,0.007996861398349561
38643,0.9914557552952518
13971,0.9893542801856586
19592,0.8501213820102003
1047,0.9725226308330228
3629,0.13593243972766222
22641,0.007055460508676678
5688,0.9863340713993883
3645,0.814287339535833
23216,0.0888074949563707
10561,0.9902545736597711
32548,0.9670257968317447
23874,0.007022973164147479
22971,0.3067134229242382
15967,0.8236317602285013
34896,0.8887045826703939
3919,0.00727759257968608
3183,0.15831969164010687
23788,0.005798293368337437
243,0.0067696597464993015
17702,0.9086170298964491
29601,0.07084409942699174
32499,0.008639688919001694
26146,0.8804957326856352
11890,0.008453781141624683
9807,0.9909697951816825
18070,0.007398213804901912
22162,0.8954048604440142
20019,0.009737264596734014
1858,0.22799250420250572
8243,0.008191769450468383
14080,0.18346805923826018
10944,0.03587580028656016
30651,0.00882603118886681
7807,0.9732601924314567
37370,0.8987476897383072
7364,0.3438062656283603
30646,0.9104474452763687
32797,0.943787202978676
30187,0.9884313534006042
2107,0.9901669692196502
16238,0.007788933937316697
26996,0.9900914389919637
10497,0.9911769233749816
30813,0.9883546709840892
10910,0.008850950437816064
15145,0.8152734413433105
19594,0.9893681343394499
28862,0.0063538073315747646
30636,0.9907621811402917
27443,0.00908954089327793
22622,0.7777604052558015
34036,0.008821378818249143
9862,0.9836880771478368
9740,0.9196527675427891
3505,0.990504125200598
24522,0.9311378801537319
18485,0.9211408872519428
34130,0.8400848266579553
22275,0.34353753679725446
33323,0.007329561949729302
20354,0.0760050948920563
24018,0.009719398493359259
23351,0.008301764771637828
5036,0.9906040977840431
15114,0.9867359288991675
10647,0.9913466576450045
12236,0.009005325442239445
2176,0.011506059826024163
21547,0.007320525199356241
28215,0.13392779005824762
21717,0.9902082016766824
38159,0.9919371951983813
14989,0.7881915699797256
13937,0.26313379710399853
15286,0.9910446626193291
11995,0.007646864224282974
14348,0.9898493446886658
3454,0.9877907089469558
2488,0.9899019722813803
28470,0.008137353319302272
33533,0.9895607047215662
3656,0.0073376908245556625
11737,0.008915893888326943
21883,0.9081575471167642
2037,0.008591760211828751
27088,0.9884689067998196
8144,0.9900356490363196
29813,0.9237273910257993
21985,0.8437885420379692
10449,0.9880453409429556
37857,0.9907249548182566
24079,0.9446480774431664
22994,0.00829973903017728
6587,0.007107864650232175
31190,0.9905660153420875
22936,0.8896865967456032
3783,0.010814422312993623
32717,0.00706270541448923
38197,0.9863319261762638
22878,0.9884578724155323
2345,0.9918679629166746
25261,0.03603309318047932
28787,0.9902260494499917
